Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2LBqFFGI9G5hn136dS4giv,"S I T E G U S T A N L A S G A T A S","PRIMERA MUSA","Omar Courtz",2024-09-20,173416,64,false,vnubrek2s9o1fzz7lu062vu04,2026-02-15T17:00:26Z,"","Mr.305 Records / Rimas Entertainment LLC.",0.639,0.672,1,-4.55,1,0.108,0.0316,0.000026,0.102,0.738,179.97,4
spotify:track:4SehMwGDegMobZHK0ODaLw,"A L O C A - T","PRIMERA MUSA","Omar Courtz",2024-09-20,178108,67,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T17:00:26Z,"","Mr.305 Records / Rimas Entertainment LLC.",0.412,0.65,8,-5.298,0,0.066,0.234,0,0.123,0.347,94.771,4
spotify:track:7w3G5VXJLLbuaWylG7hvVi,"S E X P L A Y L I S T 1","PRIMERA MUSA","Omar Courtz;Rauw Alejandro",2024-09-20,237853,70,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T17:00:26Z,"reggaetón,trap latino,urbano latino,latina","Mr.305 Records / Rimas Entertainment LLC.",0.782,0.767,7,-3.348,1,0.0611,0.0581,0.0000271,0.124,0.381,93.014,4
spotify:track:5KJUqkXzzwEkoTuIL4EYEI,"SERIO CON ESE Q","PRIMERA MUSA","Omar Courtz;Anuel AA",2024-09-20,247468,72,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T17:00:26Z,"reggaetón,trap latino,urbano latino,latina","Mr.305 Records / Rimas Entertainment LLC.",0.673,0.81,8,-3.915,1,0.0451,0.336,0,0.274,0.494,93.002,4
spotify:track:5dDlknAL9imbXXl7uG7oqe,"⁠LUCES DE COLORES","PRIMERA MUSA","Omar Courtz",2024-09-20,216506,80,false,vnubrek2s9o1fzz7lu062vu04,2026-02-15T17:00:26Z,"","Mr.305 Records / Rimas Entertainment LLC.",0.656,0.675,9,-5.106,0,0.0438,0.46,0.00000136,0.132,0.275,92.047,4
spotify:track:7d6yK8v8J484SWH5prIQiE,"VeLDÁ","DeBÍ TiRAR MáS FOToS","Bad Bunny;Omar Courtz;Dei V",2025-01-05,235336,91,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T17:01:01Z,"reggaetón,trap latino,latina,urbano latino","Rimas Entertainment LLC.",0.613,0.981,1,-18.638,1,0.149,0.29,0.0023,0.437,0.0337,101.852,3
spotify:track:31we7ZzWdSBEOKs5Ln6QVF,"NUBES","NUBES","De La Rose;Omar Courtz",2025-04-03,271801,73,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T17:01:06Z,"","WEA Latina",0.657,0.666,7,-3.786,1,0.0302,0.243,0,0.101,0.19,99.945,4
spotify:track:3Ob9NJaBlOGDvndnG6G2PW,"MÁS QUE ALGO","LO MISMO DE SIEMPRE","Mora;Omar Courtz",2025-05-18,242306,67,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T17:01:11Z,"trap latino,urbano latino,reggaetón","Rimas Entertainment LLC.",0.564,0.619,7,-6.331,1,0.0495,0.737,0,0.122,0.403,103.05,4
spotify:track:29twJUQo66aqSd3lxoeswV,"Comernos","Comernos","Omar Courtz;Bad Gyal",2025-04-17,221373,75,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T17:01:15Z,"neoperreo","Mr.305 Records / Rimas Entertainment LLC.",0.779,0.862,8,-3.235,0,0.0835,0.199,0.00000757,0.126,0.355,89.998,4
spotify:track:7eNwwoxDR8KVzNAuGvliAO,"Kyoto","Kyoto","Omar Courtz;De La Rose;Haze",2023-07-14,247840,79,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T17:01:20Z,"reggaetón","House of Haze",0.732,0.753,9,-4.269,0,0.0512,0.235,0.0000174,0.568,0.405,94.978,4
