TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
40.913560091,-184.62,27.6232,1.50319,8.56392,8.53146,3.50814,-9.51353,10.6408,-12.3716,-1.31257,5.61231,0.837647,-0.0700777,-2.857,-3.2904,4.5377,1.19101,-1.57223,-1.6094,0.466786,0.0730901
40.936780045,-184.986,22.3078,2.10679,2.29867,6.36477,1.75927,-10.9989,9.83986,-8.16309,-3.60277,3.07178,-2.62846,1.28259,-5.53406,-7.83753,4.07899,1.31565,-3.74945,-1.87664,-1.61194,0.16834
40.960000000,-172.741,18.4327,7.74022,2.09768,8.926,1.60317,-12.623,12.8511,-4.11917,-3.04161,4.89653,-1.16894,-0.83559,-4.69248,-3.6628,3.51916,6.38823,-0.926447,0.894428,-0.0522844,-0.232638
40.983219955,-178.102,22.3495,8.89369,3.96492,5.91187,3.19164,-9.24781,16.6888,-4.91067,-1.18441,3.721,1.40059,-1.53675,-1.66811,-7.22745,3.57171,5.27589,-0.417992,-0.26444,0.49067,-1.41799
41.006439909,-190.806,27.9538,9.37425,0.919199,8.15707,6.58879,-7.04734,11.6083,-7.12895,-1.25276,2.36393,-3.43925,0.00272312,-0.617182,-6.83244,-0.329573,1.16192,-0.875351,0.415374,0.961102,0.734397
41.029659864,-207.174,31.9142,12.6227,2.09655,6.07394,4.17796,-7.65245,9.25568,-6.18586,5.4257,4.83189,-0.816454,3.42172,-0.898663,-2.85806,-1.38552,1.10988,-0.44474,2.16466,-2.47484,0.928819
41.052879819,-210.237,33.9356,3.55183,10.0545,5.34612,0.542264,-3.44727,4.8815,-6.58755,6.52408,6.15597,0.440061,3.05796,4.45879,-4.59127,-0.66653,-4.0317,0.618857,1.09431,-5.63182,0.302969
41.076099773,-200.683,25.5265,12.1187,10.1785,3.72557,-1.75153,-3.08805,-1.92151,-4.41866,3.09692,4.54264,0.452335,0.861782,5.72431,-2.85876,0.947899,-3.42617,-1.494,-1.60068,0.315669,0.0725936
41.099319728,-188.502,27.0349,4.52817,6.21463,6.3792,0.602224,1.97709,-3.0445,-3.42063,2.71555,3.32232,0.296034,3.28622,1.47793,1.54139,-0.280448,-0.687847,-1.05119,-0.165663,-3.97156,-1.21241
41.122539683,-127.945,3.88673,-5.43332,0.509658,1.07206,2.86267,1.41382,3.03152,1.72546,-0.21602,1.15977,-0.00639598,-0.379798,0.0864632,-3.22804,-0.358515,-0.0686665,1.33068,1.47495,-1.04517,-1.94528
41.145759637,-152,8.3522,2.51885,7.26014,2.24001,6.20212,-4.99484,0.53864,-2.14847,-0.374598,0.930298,1.11344,1.19966,1.76173,1.37887,-0.139396,0.111742,-1.95723,-1.59167,0.000248412,0.265182
41.168979592,-163.456,9.40454,1.53493,8.74916,5.2788,7.87871,-6.84097,5.75814,-1.92097,2.8263,-0.761016,-2.25766,2.43558,1.03613,2.14952,0.919562,-0.743838,-2.73153,0.319701,-1.05691,-0.165098
41.192199546,-173.042,10.073,1.33925,8.49048,7.96984,9.09993,-9.7355,10.6545,-4.02676,3.00547,-1.1083,-2.99169,3.51623,-2.18805,-2.66836,-0.245267,-2.40449,-1.88584,0.502554,-0.801524,-0.903954
41.215419501,-169.228,8.69468,3.59639,9.77657,6.60776,7.20611,-8.77914,10.2926,-3.62493,5.10919,2.59805,-4.09915,1.3587,0.687024,-0.618147,2.99114,-3.63658,-0.872156,2.93064,-2.36046,-0.198054
41.238639456,-173.209,14.5574,6.09601,12.545,10.0599,4.1356,-12.6645,8.8583,-6.98702,4.03726,-0.498729,-2.63628,0.325545,0.870416,1.73718,2.73271,-4.21572,-1.94114,1.03968,-0.0901289,-0.950042
41.261859410,-174.845,10.1954,2.51831,12.6511,5.08885,5.63626,-11.4043,9.75372,-4.16557,7.12453,0.678318,1.90522,2.56441,0.540175,-0.811019,2.52021,-3.75399,1.03059,0.828094,-1.29072,-0.922376
41.285079365,-175.359,17.3067,5.18984,12.9866,4.60309,8.63101,-10.9418,7.90664,-9.42278,5.04533,1.02329,0.250546,0.568474,-0.530448,-0.826478,4.30773,-2.50531,-0.825925,0.816967,0.659265,1.17219
41.308299320,-195.147,22.6992,8.6509,10.7146,3.29369,2.45955,-6.29602,7.0752,-5.83454,6.11867,4.84023,-2.78132,-2.88521,0.487888,0.601548,2.47475,-0.180741,0.357908,1.19238,-2.72778,0.539892
41.331519274,-211.335,24.4345,6.66342,12.1023,3.84524,3.24006,-4.86107,7.38605,-3.74508,7.84152,6.59783,-7.18379,-2.03795,4.77001,-2.25476,5.47024,0.0545349,-2.33306,-2.63454,-0.713587,2.45592
41.354739229,-218.054,30.0279,8.29618,12.7139,3.17448,1.57358,-7.83628,5.46626,-4.92581,5.08862,4.93152,-6.37351,-2.10564,4.23037,-3.26781,3.00265,0.797154,0.485828,-4.172,-3.46779,-0.513841
41.377959184,-205.098,34.0755,1.23999,4.00041,-2.39235,9.05266,-3.75234,1.43963,-8.14846,0.713852,0.690486,-2.53936,-0.794705,0.275516,-4.43723,1.32994,-1.30785,4.38019,-0.618677,-2.63848,-2.11398
41.401179138,-144.782,14.4076,-9.44713,-6.05113,-7.14052,4.1059,-2.40863,-0.0890655,-7.10391,0.955926,1.79818,2.53901,1.41183,0.362291,0.552213,-1.68228,-1.32835,-0.581106,-1.15417,-0.400158,0.181485
41.424399093,-200.543,24.0705,-6.41845,1.37544,4.23853,6.71359,-2.84839,0.818634,-1.13989,1.36942,0.281832,-1.16593,-2.21675,2.9007,-5.81394,-0.24033,-1.77025,4.0047,-3.99728,-3.35772,-1.46603
41.447619048,-164.404,-1.02729,-1.78845,6.16083,-5.34872,5.67006,-4.29728,5.81737,-0.241684,3.7083,-6.10964,2.04358,-5.56981,1.53945,-1.03653,0.830585,-4.48158,0.0703341,-2.26919,1.57198,-0.551262
41.470839002,-198.584,9.39402,-0.103051,7.66602,2.26756,8.28282,-6.12616,3.67452,-0.304949,2.07283,-1.85329,-0.328034,0.10724,0.266637,-0.933387,2.40051,-0.822521,0.0973809,-2.35174,-1.68834,0.847397
41.494058957,-186.042,7.08444,-2.50825,6.46392,1.2221,6.52753,-12.8153,2.31154,-6.03172,3.84539,-1.32265,-4.65359,-0.0416439,3.89384,2.57619,3.61438,0.0425455,0.98217,2.08593,-0.679636,1.86324
41.517278912,-194.78,10.5842,-2.72907,7.97561,9.26186,6.42589,-13.0451,3.3039,-1.04739,4.95664,1.81194,-2.89436,1.08592,-0.341523,0.694871,-1.07994,-1.42495,-1.83321,-1.36139,-3.40998,1.27824
41.540498866,-199.461,10.5305,-4.63801,12.1164,6.56035,9.96287,-8.32029,3.3199,-2.85008,4.16585,-1.03189,-2.08927,-0.806332,0.709211,-0.194157,-2.12983,-0.411819,1.66954,-1.33475,-2.37331,-0.0184945
41.563718821,-179.802,16.5791,-10.843,8.19599,-3.04366,1.40839,-5.27835,3.884,-1.38582,3.89867,0.609386,3.36955,-1.37581,1.02784,-3.27089,2.55372,-0.936222,1.08262,-2.53426,-0.606968,0.337633
41.586938776,-176.964,32.1551,-4.79933,14.1089,0.654199,5.69644,-11.4216,4.4898,0.673029,3.25041,-1.63661,1.74304,-4.2788,-0.989697,-3.57405,-3.56477,-1.62389,2.6606,-3.60137,-0.26733,-0.650787
41.610158730,-187.451,28.9932,-10.5825,15.5809,4.01257,11.5353,-7.36432,5.2617,-0.602202,2.36921,-1.65004,4.28153,-1.43018,1.885,-0.49669,-2.62357,-4.11192,4.5642,-5.87246,1.74853,-0.404589
41.633378685,-191.795,29.2781,-7.52533,13.2465,1.91703,11.1575,-6.57214,5.75309,1.0114,0.448377,-2.33899,4.75059,1.28675,1.5234,0.46001,-3.23358,-4.45078,3.00872,-3.40827,1.27656,-0.949672
41.656598639,-216.607,39.2828,-5.29369,7.24301,1.12656,7.53312,-0.567298,7.61741,1.84001,1.4985,-4.17076,4.10469,0.94963,3.98657,1.04002,-4.52362,-5.44559,1.44817,-0.386884,0.862656,-4.48686
41.679818594,-222.696,37.0815,-3.5686,3.41247,0.886499,9.12857,-1.1018,10.6456,0.764673,0.113436,-3.67875,3.79498,0.576679,6.7663,0.561253,-0.164878,-3.2405,5.81603,2.52979,2.29852,-4.53943
41.703038549,-190.258,43.0482,4.44145,2.94723,-2.30384,1.95744,-3.92135,1.09431,-2.41351,1.88576,-0.24672,1.67828,-4.10525,-0.700752,-4.52552,-0.537187,-4.74054,0.578276,-2.88301,-0.153076,-3.95015
41.726258503,-220.378,46.6827,1.77887,7.28645,5.35745,6.82067,-0.683948,5.95672,0.666385,1.23574,1.49454,3.77711,-1.75712,2.04831,-0.861467,0.976941,-2.47537,1.5106,-1.7648,-2.00769,-2.80984
41.749478458,-221.075,45.4337,-3.73451,2.46877,8.20823,10.9522,-0.193424,8.74507,0.842956,2.79321,2.56231,4.10221,-2.35925,0.324229,-2.30409,-1.0767,-0.422893,5.13508,0.58767,1.01919,-0.012658
41.772698413,-223.97,45.4296,-4.47863,5.96228,9.79899,10.1057,-1.2616,4.53892,-1.37546,2.28845,2.26725,6.61378,2.22357,4.07675,-0.140437,-1.81233,0.0779701,4.46287,-1.65019,-0.633629,-1.58118
41.795918367,-227.203,47.6805,-8.2205,10.9495,12.0642,11.993,-2.60984,5.00442,-4.83344,3.44619,0.749463,4.38964,-0.512552,3.55828,1.24314,1.27881,-0.814923,2.73312,1.69744,0.109391,-2.05616
41.819138322,-226.572,47.9079,-6.49708,12.1182,10.3041,8.71833,-5.43784,2.41075,-3.85641,3.42982,2.75707,4.87874,-0.612399,4.45013,1.63336,-1.08305,-1.26213,4.42518,0.221427,0.0176021,-0.932207
41.842358277,-226.609,47.13,-8.37336,8.48839,8.60908,8.72482,-4.07128,4.99951,-4.30281,4.12917,0.423144,3.91231,-0.97805,3.85951,-0.428613,-0.344811,-2.73888,3.49034,-0.233577,-0.677749,-0.0674594
41.865578231,-219.013,41.369,-3.40593,5.80571,5.33426,7.93802,-4.24467,0.539392,-0.594472,3.45104,-1.50035,-0.320813,-3.53144,3.13351,-0.589985,-1.45375,-3.335,2.13618,-1.39574,-1.18456,-1.78205
41.888798186,-231.824,45.0041,-2.72127,6.96356,5.5142,13.0278,0.594484,1.29874,-4.60852,4.49462,-1.86557,1.62935,-1.66836,1.72018,0.0341401,0.453145,-4.59884,2.15068,-1.32547,1.19631,-0.746045
41.912018141,-250.314,49.9721,-0.604634,6.04549,4.41177,9.11125,-3.16158,1.75627,-3.6474,4.09484,-0.93286,1.29905,-3.36317,2.89859,2.3332,0.219681,-0.450475,2.37395,-0.953548,-1.00712,-0.741071
41.935238095,-256.144,51.8435,-2.03193,6.87719,5.64119,11.3913,-5.03074,1.54319,-1.40848,2.90812,-3.96432,2.11375,-1.88231,0.656173,-1.13871,-1.11072,-1.87572,3.66115,0.0759604,-0.314411,-3.82052
41.958458050,-255.012,56.0956,-0.528292,4.91287,6.40144,10.2957,-4.85779,2.71345,-3.84175,0.794843,-0.0175564,1.85782,-2.27065,1.73698,-1.03366,-1.13836,-2.08785,3.71013,0.530328,-1.94611,-3.76647
41.981678005,-261.156,57.0571,1.697,7.06818,7.90247,9.51277,-5.39426,3.75798,-1.01167,3.35781,-0.645946,4.5147,0.635955,2.68677,-1.54732,-3.10489,-3.06495,0.739167,-0.616016,-0.448546,-1.51625
